Date,Team,Notes,Year injured,Injured,Player
10/3/2010,Bulls,fractured bone in right pinky finger (out indefinitely),2010,1,Carlos Boozer
10/6/2010,Pistons,torn right Achilles tendon (out indefinitely),2010,1,Jonas Jerebko
10/6/2010,Pistons,broken fifth metatarsal in right foot (out indefinitely),2010,1,Terrico White
10/8/2010,Blazers,torn ACL in right knee (out indefinitely),2010,1,Jeff Ayres
10/8/2010,Nets,strained lower back (out indefinitely),2010,1,Troy Murphy
10/8/2010,Pistons,surgery to repair torn right Achilles tendon,2010,1,Jonas Jerebko
10/8/2010,Pistons,surgery on right foot to repair broken fifth metatarsal,2010,1,Terrico White
10/9/2010,Nuggets,partially torn plantar fascia in left foot (out indefinitely),2010,1,Al Harrington
10/12/2010,Bucks,surgery on left hip (out for season),2010,1,Darington Hobson
10/12/2010,Kings,strained left groin (out indefinitely),2010,1,Samuel Dalembert
10/17/2010,Bobcats,stress fracture in left shin (out indefinitely),2010,1,Dominic McGuire
10/18/2010,Warriors,surgery to repair fractured right index finger (out indefinitely),2010,1,Lou Amundson
10/19/2010,Suns,fractured right index finger (out indefinitely),2010,1,Josh Childress
10/22/2010,Heat,surgery on right hand to repair a broken thumb and ligament damage (out indefinitely),2010,1,Mike Miller
10/25/2010,Thunder,left knee injury (out indefinitely),2010,1,Nick Collison
10/25/2010,Timberwolves,surgery on back (out indefinitely),2010,1,Martell Webster
10/26/2010,Heat,sprained ankle (out indefinitely),2010,1,Mario Chalmers
10/27/2010,Bucks,sprained left ankle (DNP),2010,1,Jon Brockman
10/27/2010,Bucks,sprained right ankle (DNP),2010,1,Luc Mbah a Moute
10/28/2010,Grizzlies,back injury (DTD),2010,1,Zach Randolph
10/28/2010,Hawks,right knee inflammation (DTD),2010,1,Maurice Evans
10/28/2010,Spurs,sprained right ankle (DTD),2010,1,Matt Bonner
10/29/2010,Heat,returned to lineup,2010,1,Mario Chalmers
10/29/2010,Pistons,sore right hamstring (DNP),2010,1,Will Bynum
11/2/2010,Pistons,sore right foot (DNP),2010,1,Richard Hamilton
11/3/2010,Hawks,turf toe (DNP),2010,1,Jamal Crawford
11/3/2010,Jazz,sprained right wrist (DNP),2010,1,Jeremy Evans
11/3/2010,Jazz,stomach illness (DNP),2010,1,Kyrylo Fesenko
11/3/2010,Nuggets,strained left groin (DNP),2010,1,Nene Hilario 
11/3/2010,Warriors,stomach virus (DTD),2010,1,Brandan Wright
11/4/2010,Blazers,"dislocated patella in right knee (surgery, out for season)",2010,1,Elliot Williams
11/5/2010,Bucks,migraine headache (DNP),2010,1,Andrew Bogut
11/5/2010,Hawks,bone bruise in right knee (DNP),2010,1,Marvin Williams
11/5/2010,Jazz,sprained right ankle (DNP),2010,1,Jeremy Evans
11/6/2010,Blazers,back injury (DNP),2010,1,Rudy Fernandez
11/6/2010,Raptors,ankle injury (DTD),2010,1,Sonny Weems
11/8/2010,Magic,DNP,2010,1,Mickael Pietrus
11/9/2010,Bucks,strained neck (DNP),2010,1,Carlos Delfino
11/10/2010,Clippers,sprained left ankle (DNP),2010,1,Chris Kaman
11/10/2010,Raptors,flu (DTD),2010,1,David Andersen
11/10/2010,Timberwolves,thigh injury (DTD),2010,1,Wayne Ellington
11/10/2010,Clippers,sore left shoulder (DNP),2010,1,Eric Gordon
11/11/2010,Celtics,sore left knee (DNP),2010,1,Jermaine O'Neal
11/11/2010,Rockets,sprained left ankle (DTD),2010,1,Yao Ming
11/11/2010,Spurs,stress fracture in right foot (out indefinitely),2010,1,James Anderson
11/11/2010,Warriors,placed on IL with infection in left elbow,2010,1,David Lee
11/12/2010,Warriors,surgery on left elbow to repair infection,2010,1,David Lee
11/12/2010,Clippers,strained left hamstring (DNP),2010,1,Randy Foye
11/13/2010,Raptors,flu-like symptoms (DNP),2010,1,Reggie Evans
11/14/2010,Rockets,sprained left ankle (DNP),2010,1,Chase Budinger
11/14/2010,Timberwolves,sprained left ankle (DNP),2010,1,Nikola Pekovic
11/14/2010,Timberwolves,bruised left thigh (DNP),2010,1,Wayne Ellington
11/15/2010,Jazz,strained left abductor (DNP),2010,1,Raja Bell
11/15/2010,Timberwolves,left foot injury (DNP),2010,1,Nikola Pekovic
11/16/2010,Blazers,sore left knee (DNP),2010,1,Brandon Roy
11/17/2010,Jazz,dizziness (DNP),2010,1,Kyrylo Fesenko
11/18/2010,Magic,foot injury (DTD),2010,1,Jason Williams
11/19/2010,Blazers,mircofracture surgery on left knee (out for season),2010,1,Greg Oden
11/19/2010,Heat,broken nose (DNP),2010,1,Juwan Howard
11/19/2010,Knicks,left calf injury (DNP),2010,1,Timofey Mozgov
11/19/2010,Warriors,strained lower back (DNP),2010,1,Brandan Wright
11/20/2010,Suns,strained groin (DNP),2010,1,Steve Nash
11/21/2010,Wizards,sprained left foot (DNP),2010,1,John Wall 
11/22/2010,Hornets,DNP,2010,1,Marcus Thornton 
11/23/2010,Heat,surgery on left foot to repair torn ligament (out for season),2010,1,Udonis Haslem
11/24/2010,Bucks,sore back (DNP),2010,1,Andrew Bogut
11/24/2010,Bulls,right ankle/foot injury (DNP),2010,1,Taj Gibson
11/24/2010,Celtics,broken right wrist (out indefinitely),2010,1,Delonte West
11/24/2010,Magic,returned to lineup,2010,1,Jason Williams
11/26/2010,Raptors,broken right foot (out indefinitely),2010,1,Reggie Evans
11/27/2010,Bucks,sore left ankle (DNP),2010,1,Corey Maggette
11/27/2010,Bucks,plantar fasciitis in left foot (DNP),2010,1,Drew Gooden
11/27/2010,Wizards,bruised right knee (P) / sore left knee (CBC) (DNP),2010,1,John Wall 
11/28/2010,Blazers,sprained right ankle (DNP),2010,1,Sean Marks
